Day,it is Wednesday my dudes: (Worldwide)
2016-07-24,20
2016-07-25,2
2016-07-26,15
2016-07-27,15
2016-07-28,17
2016-07-29,3
2016-07-30,3
2016-07-31,17
2016-08-01,2
2016-08-02,2
2016-08-03,23
2016-08-04,15
2016-08-05,13
2016-08-06,0
2016-08-07,34
2016-08-08,9
2016-08-09,23
2016-08-10,52
2016-08-11,34
2016-08-12,20
2016-08-13,28
2016-08-14,34
2016-08-15,30
2016-08-16,10
2016-08-17,58
2016-08-18,20
2016-08-19,15
2016-08-20,39
2016-08-21,11
2016-08-22,14
2016-08-23,24
2016-08-24,93
2016-08-25,60
2016-08-26,24
2016-08-27,37
2016-08-28,37
2016-08-29,13
2016-08-30,31
2016-08-31,63
2016-09-01,41
2016-09-02,33
2016-09-03,11
2016-09-04,73
2016-09-05,32
2016-09-06,40
2016-09-07,100
2016-09-08,28
2016-09-09,33
2016-09-10,32
2016-09-11,16
2016-09-12,27
2016-09-13,40
2016-09-14,98
2016-09-15,45
2016-09-16,47
2016-09-17,10
2016-09-18,20
2016-09-19,26
2016-09-20,17
2016-09-21,93
2016-09-22,36
2016-09-23,51
2016-09-24,36
2016-09-25,25
2016-09-26,31
2016-09-27,31
2016-09-28,93
2016-09-29,44
2016-09-30,32
2016-10-01,25
2016-10-02,20
2016-10-03,30
2016-10-04,43
2016-10-05,96
2016-10-06,57
2016-10-07,54
2016-10-08,30
2016-10-09,40
2016-10-10,26
2016-10-11,26
2016-10-12,94
2016-10-13,53
2016-10-14,36
2016-10-15,15
2016-10-16,20
2016-10-17,22
2016-10-18,39
2016-10-19,91
2016-10-20,26
2016-10-21,45
2016-10-22,41
2016-10-23,20
2016-10-24,9
2016-10-25,21
2016-10-26,73
2016-10-27,62
2016-10-28,42
2016-10-29,21
2016-10-30,25
2016-10-31,49
2016-11-01,36
2016-11-02,96
2016-11-03,26
2016-11-04,45
2016-11-05,15
2016-11-06,24
2016-11-07,26
2016-11-08,34
2016-11-09,43
2016-11-10,22
2016-11-11,14
2016-11-12,10
2016-11-13,25
2016-11-14,21
2016-11-15,35
2016-11-16,87
2016-11-17,43
2016-11-18,27
2016-11-19,30
2016-11-20,19
2016-11-21,13
2016-11-22,30
2016-11-23,60
2016-11-24,18
2016-11-25,13
2016-11-26,10
2016-11-27,23
2016-11-28,8
2016-11-29,25
2016-11-30,62
2016-12-01,25
2016-12-02,26
2016-12-03,19
2016-12-04,18
2016-12-05,15
2016-12-06,32
2016-12-07,57
2016-12-08,47
2016-12-09,18
2016-12-10,10
2016-12-11,19
2016-12-12,24
2016-12-13,25
2016-12-14,37
2016-12-15,21
2016-12-16,22
2016-12-17,20
2016-12-18,15
2016-12-19,13
2016-12-20,13
2016-12-21,22
2016-12-22,18
2016-12-23,33
2016-12-24,27
2016-12-25,27
2016-12-26,9
2016-12-27,27
2016-12-28,27
2016-12-29,45
2016-12-30,19
2016-12-31,26
2017-01-01,64
2017-01-02,27
2017-01-03,25
2017-01-04,55
2017-01-05,17
2017-01-06,13
2017-01-07,12
2017-01-08,23
2017-01-09,35
2017-01-10,40
2017-01-11,80
2017-01-12,41
2017-01-13,31
2017-01-14,35
2017-01-15,17
2017-01-16,20
2017-01-17,10
2017-01-18,35
2017-01-19,50
2017-01-20,15
2017-01-21,11
2017-01-22,28
2017-01-23,39
2017-01-24,25
2017-01-25,64
2017-01-26,10
2017-01-27,16
2017-01-28,23
2017-01-29,45
2017-01-30,10
2017-01-31,30
2017-02-01,73
2017-02-02,30
2017-02-03,36
2017-02-04,22
2017-02-05,17
2017-02-06,15
2017-02-07,19
2017-02-08,64
2017-02-09,30
2017-02-10,0
2017-02-11,28
2017-02-12,23
2017-02-13,19
2017-02-14,20
2017-02-15,40
2017-02-16,39
2017-02-17,30
2017-02-18,39
2017-02-19,28
2017-02-20,30
2017-02-21,24
2017-02-22,73
2017-02-23,15
2017-02-24,15
2017-02-25,17
2017-02-26,11
2017-02-27,33
2017-02-28,29
2017-03-01,62
2017-03-02,33
2017-03-03,20
2017-03-04,27
2017-03-05,16
2017-03-06,28
2017-03-07,23
2017-03-08,63
2017-03-09,34
2017-03-10,45
2017-03-11,39
2017-03-12,11
2017-03-13,27
2017-03-14,29
2017-03-15,49
2017-03-16,25
2017-03-17,31
2017-03-18,23
2017-03-19,11
2017-03-20,15
2017-03-21,29
2017-03-22,92
2017-03-23,34
2017-03-24,41
2017-03-25,34
2017-03-26,45
2017-03-27,10
2017-03-28,39
2017-03-29,44
2017-03-30,20
2017-03-31,41
2017-04-01,23
2017-04-02,57
2017-04-03,24
2017-04-04,10
2017-04-05,44
2017-04-06,25
2017-04-07,10
2017-04-08,28
2017-04-09,0
2017-04-10,20
2017-04-11,20
2017-04-12,35
2017-04-13,47
2017-04-14,45
2017-04-15,18
2017-04-16,35
2017-04-17,20
2017-04-18,19
2017-04-19,63
2017-04-20,34
2017-04-21,46
2017-04-22,17
2017-04-23,11
2017-04-24,29
2017-04-25,24
2017-04-26,91
2017-04-27,44
2017-04-28,31
2017-04-29,11
2017-04-30,46
2017-05-01,42
2017-05-02,34
2017-05-03,92
2017-05-04,64
2017-05-05,26
2017-05-06,29
2017-05-07,17
2017-05-08,34
2017-05-09,34
2017-05-10,54
2017-05-11,25
2017-05-12,36
2017-05-13,40
2017-05-14,23
2017-05-15,31
2017-05-16,37
2017-05-17,84
2017-05-18,47
2017-05-19,16
2017-05-20,49
2017-05-21,24
2017-05-22,26
2017-05-23,41
2017-05-24,100
2017-05-25,53
2017-05-26,45
2017-05-27,19
2017-05-28,32
2017-05-29,16
2017-05-30,31
2017-05-31,71
2017-06-01,21
2017-06-02,17
2017-06-03,24
2017-06-04,18
2017-06-05,42
2017-06-06,15
2017-06-07,21
2017-06-08,21
2017-06-09,22
2017-06-10,15
2017-06-11,20
2017-06-12,13
2017-06-13,8
2017-06-14,38
2017-06-15,9
2017-06-16,13
2017-06-17,5
2017-06-18,10
2017-06-19,4
2017-06-20,0
2017-06-21,29
2017-06-22,17
2017-06-23,9
2017-06-24,10
2017-06-25,20
2017-06-26,0
2017-06-27,9
2017-06-28,31
2017-06-29,9
2017-06-30,0
2017-07-01,5
2017-07-02,10
2017-07-03,4
2017-07-04,18
2017-07-05,22
2017-07-06,9
2017-07-07,5
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,17
2017-07-13,4
2017-07-14,14
2017-07-15,5
2017-07-16,5
2017-07-17,9
2017-07-18,4
2017-07-19,22
2017-07-20,4
2017-07-21,9
2017-07-22,0
2017-07-23,15
2017-07-24,4
2017-07-25,9
2017-07-26,64
2017-07-27,21
2017-07-28,4
2017-07-29,25
2017-07-30,0
2017-07-31,4
2017-08-01,29
2017-08-02,81
2017-08-03,54
2017-08-04,9
2017-08-05,10
2017-08-06,15
2017-08-07,4
2017-08-08,12
2017-08-09,50
2017-08-10,34
2017-08-11,9
2017-08-12,10
2017-08-13,10
2017-08-14,0
2017-08-15,4
2017-08-16,72
2017-08-17,26
2017-08-18,9
2017-08-19,0
2017-08-20,14
2017-08-21,12
2017-08-22,13
2017-08-23,67
2017-08-24,13
2017-08-25,4
2017-08-26,10
2017-08-27,14
2017-08-28,0
2017-08-29,0
2017-08-30,71
2017-08-31,17
2017-09-01,13
2017-09-02,15
2017-09-03,5
2017-09-04,9
2017-09-05,4
2017-09-06,37
2017-09-07,30
2017-09-08,17
2017-09-09,5
2017-09-10,14
2017-09-11,8
2017-09-12,12
2017-09-13,65
2017-09-14,16
2017-09-15,17
2017-09-16,14
2017-09-17,9
2017-09-18,4
2017-09-19,4
2017-09-20,87
2017-09-21,33
2017-09-22,34
2017-09-23,10
2017-09-24,23
2017-09-25,8
2017-09-26,8
2017-09-27,94
2017-09-28,62
2017-09-29,22
2017-09-30,10
2017-10-01,19
2017-10-02,29
2017-10-03,16
2017-10-04,49
2017-10-05,29
2017-10-06,21
2017-10-07,5
2017-10-08,19
2017-10-09,12
2017-10-10,20
2017-10-11,53
2017-10-12,29
2017-10-13,21
2017-10-14,28
2017-10-15,5
2017-10-16,8
2017-10-17,16
2017-10-18,65
2017-10-19,46
2017-10-20,25
2017-10-21,33
2017-10-22,18
2017-10-23,16
2017-10-24,12
2017-10-25,92
2017-10-26,45
2017-10-27,13
2017-10-28,9
2017-10-29,9
2017-10-30,12
2017-10-31,37
2017-11-01,100
2017-11-02,41
2017-11-03,17
2017-11-04,14
2017-11-05,14
2017-11-06,32
2017-11-07,9
2017-11-08,89
2017-11-09,45
2017-11-10,18
2017-11-11,13
2017-11-12,13
2017-11-13,13
2017-11-14,24
2017-11-15,97
2017-11-16,29
2017-11-17,35
2017-11-18,25
2017-11-19,17
2017-11-20,13
2017-11-21,27
2017-11-22,66
2017-11-23,28
2017-11-24,21
2017-11-25,10
2017-11-26,18
2017-11-27,17
2017-11-28,20
2017-11-29,93
2017-11-30,49
2017-12-01,28
2017-12-02,23
2017-12-03,30
2017-12-04,17
2017-12-05,24
2017-12-06,73
2017-12-07,43
2017-12-08,35
2017-12-09,13
2017-12-10,33
2017-12-11,20
2017-12-12,42
2017-12-13,99
2017-12-14,61
2017-12-15,35
2017-12-16,26
2017-12-17,39
2017-12-18,20
2017-12-19,30
2017-12-20,77
2017-12-21,63
2017-12-22,28
2017-12-23,19
2017-12-24,40
2017-12-25,29
2017-12-26,15
2017-12-27,62
2017-12-28,26
2017-12-29,20
2017-12-30,24
2017-12-31,36
2018-01-01,27
2018-01-02,21
2018-01-03,58
2018-01-04,29
2018-01-05,34
2018-01-06,28
2018-01-07,10
2018-01-08,17
2018-01-09,19
2018-01-10,94
2018-01-11,38
2018-01-12,32
2018-01-13,12
2018-01-14,12
2018-01-15,13
2018-01-16,24
2018-01-17,94
2018-01-18,46
2018-01-19,11
2018-01-20,27
2018-01-21,19
2018-01-22,30
2018-01-23,24
2018-01-24,94
2018-01-25,43
2018-01-26,20
2018-01-27,22
2018-01-28,12
2018-01-29,28
2018-01-30,28
2018-01-31,100
2018-02-01,44
2018-02-02,25
2018-02-03,10
2018-02-04,19
2018-02-05,24
2018-02-06,26
2018-02-07,81
2018-02-08,45
2018-02-09,25
2018-02-10,30
2018-02-11,22
2018-02-12,17
2018-02-13,24
2018-02-14,91
2018-02-15,40
2018-02-16,18
2018-02-17,12
2018-02-18,27
2018-02-19,17
2018-02-20,23
2018-02-21,70
2018-02-22,71
2018-02-23,29
2018-02-24,22
2018-02-25,14
2018-02-26,25
2018-02-27,30
2018-02-28,98
2018-03-01,31
2018-03-02,16
2018-03-03,5
2018-03-04,14
2018-03-05,23
2018-03-06,21
2018-03-07,68
2018-03-08,45
2018-03-09,27
2018-03-10,17
2018-03-11,34
2018-03-12,17
2018-03-13,27
2018-03-14,88
2018-03-15,56
2018-03-16,13
2018-03-17,27
2018-03-18,10
2018-03-19,13
2018-03-20,28
2018-03-21,70
